sale_id,date,product_name,price,quantity
10000,2026/01/04 18:00,MacBook Pro,1999,1.0
10001,2026/01/20 15:00,  macbook air ,1100,3.0
10002,07/01/2026,  iPad Air ,599 USD,4.0
10003,2026/01/11 07:00,iPad Air,599,5.0
10004,2026-01-09,iPad Air,$25.00,1.0
10005,11/01/2026,,65$,3.0
10006,05/01/2026,Wi-Fi Adapter,1999 USD,3.0
10007,2026/01/16 00:00, iPhone 15 Pro ,999.99$,1.0
10008,2026-01-09,MacBook Air,25$,4.0
10009,2026-01-21,Wi-Fi Adapter,65,3.0
10010,19/01/2026,Powerbank 65W,"$1,100.00",2.0
10011,2026/01/01 02:00,MacBook Pro,999.99,3.0
10012,2026-01-12,AirPods Pro,"$1,999.00",1.0
10013,01-26-2026,  macbook air ,999.99,2.0
10014,2026-01-11,MacBook Air,249,3.0
10015,2026-01-27,Powerbank 65W,25,2.0
10016,01-28-2026,MacBook Pro,$25.00,2.0
10017,01-02-2026,  macbook air ,1999$,5.0
10018,01-20-2026,iPad Air,$65.00,1.0
10019,01-27-2026,MacBook Air,$65.00,5.0
10020,2026/01/22 08:00,MacBook Pro,999.99 USD,5.0
10021,20/01/2026,iphone 15 pro,1999$,5.0
10022,01-15-2026,  macbook air ,$599.00,1.0
10023,2026/01/25 12:00,Powerbank 65W,1100$,3.0
10024,2026/01/29 01:00,iphone 15 pro,$599.00,1.0
10025,01-14-2026, iPhone 15 Pro ,999.99,5.0
10026,2026/01/29 19:00,AirPods Pro,25$,4.0
10027,2026/01/23 02:00,iPad Air,249,2.0
10028,2026/01/23 18:00,MacBook Pro,65,3.0
10029,11/01/2026,MacBook Pro,1999$,4.0
10030,2026-01-03,  macbook air ,65,5.0
10031,2026/01/19 04:00,Powerbank 65W,65$,3.0
10032,29/01/2026,,999.99 USD,3.0
10033,01-03-2026,MacBook Pro,25$,1.0
10034,2026/01/19 04:00,iPad Air,599 USD,3.0
10035,2026-01-08,AirPods Pro,25,2.0
10036,06/01/2026,MacBook Pro,65,2.0
10037,01-05-2026, iPhone 15 Pro ,65 USD,2.0
10038,2026-01-26,Wi-Fi Adapter,1999,1.0
10039,2026/01/29 00:00,MacBook Pro,,2.0
10040,27/01/2026,iPad Air,25$,1.0
10041,01-07-2026,iPad Air,$65.00,3.0
10042,01-25-2026,  iPad Air ,599$,1.0
10043,2026/01/15 18:00,AirPods Pro,"$1,100.00",2.0
10044,2026/01/05 23:00,  iPad Air ,$599.00,5.0
10045,2026-01-15,iphone 15 pro,"$1,999.00",5.0
10046,01-14-2026,  iPad Air ,$249.00,3.0
10047,2026-01-07,iPad Air,25 USD,2.0
10048,2026/01/02 18:00,AirPods Pro,,3.0
10049,2026/01/14 19:00,  iPad Air ,999.99 USD,2.0
10050,2026/01/25 21:00,iPad Air,25 USD,3.0
10051,07/01/2026,  iPad Air ,"$1,100.00",1.0
10052,2026-01-10,AirPods Pro,599 USD,4.0
10053,12/01/2026,,$599.00,5.0
10054,26/01/2026,  iPad Air ,25,5.0
10055,21/01/2026,  iPad Air ,$599.00,2.0
10056,2026/01/21 23:00, iPhone 15 Pro ,25 USD,4.0
10057,01-13-2026,MacBook Pro,"$1,100.00",1.0
10058,18/01/2026,iPad Air,25$,2.0
10059,2026-01-14,MacBook Air,"$1,100.00",4.0
10060,19/01/2026,iPad Air,599 USD,1.0
10061,2026-01-19,,1100 USD,1.0
10062,01-27-2026,MacBook Air,$599.00,2.0
10063,2026-01-05,AirPods Pro,25$,3.0
10064,27/01/2026,iphone 15 pro,25$,5.0
10064,2026-01-04,Wi-Fi Adapter,$599.00,3.0
10066,2026/01/26 09:00,MacBook Pro,"$1,999.00",4.0
10067,2026-01-14,MacBook Pro,65,3.0
10068,2026-01-13,  iPad Air ,599 USD,1.0
10069,01-16-2026,MacBook Air,$249.00,2.0
10070,07/01/2026,  iPad Air ,1999,2.0
10071,2026-01-24,MacBook Air,599,1.0
10072,01-03-2026,iphone 15 pro,$249.00,1.0
10073,01-08-2026,MacBook Air,1100 USD,3.0
10074,01-04-2026,Powerbank 65W,$999.99,5.0
10075,2026-01-09,  macbook air ,65,2.0
10076,2026-01-22,iphone 15 pro,$599.00,2.0
10077,01-05-2026,  macbook air ,$249.00,
10078,2026-01-25,Powerbank 65W,249$,1.0
10079,01-19-2026,iPad Air,599,5.0
10080,2026/01/10 18:00,AirPods Pro,$25.00,2.0
10081,2026-01-04,  macbook air ,1100$,1.0
10082,2026-01-14,Wi-Fi Adapter,$599.00,4.0
10083,14/01/2026, iPhone 15 Pro ,1999,1.0
10084,2026-01-22,AirPods Pro,"$1,100.00",4.0
10085,2026-01-15,iPad Air,1100 USD,5.0
10086,2026-01-20,  iPad Air ,1999$,5.0
10087,29/01/2026,iPad Air,249 USD,5.0
10088,01-08-2026,MacBook Pro,$999.99,3.0
10089,01-20-2026,MacBook Pro,"$1,999.00",1.0
10090,17/01/2026,AirPods Pro,65 USD,3.0
10091,2026-01-20,MacBook Pro,65$,2.0
10092,01-21-2026,iphone 15 pro,999.99,5.0
10093,2026-01-28,,249$,3.0
10094,2026-01-04,Wi-Fi Adapter,599,5.0
10094,2026/01/13 10:00,  iPad Air ,$25.00,4.0
10096,24/01/2026,iphone 15 pro,25,4.0
10097,2026-01-03,iphone 15 pro,$999.99,1.0
10098,2026-01-21,iphone 15 pro,249$,4.0
10099,01-04-2026,MacBook Air,599$,1.0
10100,05/01/2026,iPad Air,65 USD,2.0
10101,12/01/2026,Powerbank 65W,"$1,999.00",1.0
10102,22/01/2026,AirPods Pro,$599.00,1.0
10103,2026-01-22,MacBook Air,65$,4.0
10104,08/01/2026,Powerbank 65W,$999.99,5.0
10105,26/01/2026,iPad Air,249 USD,3.0
10106,27/01/2026,AirPods Pro,"$1,100.00",4.0
10107,16/01/2026,iPad Air,25$,3.0
10108,2026-01-11,Powerbank 65W,999.99 USD,2.0
10109,2026-01-07,MacBook Pro,$599.00,5.0
10110,01-11-2026,Powerbank 65W,1100$,3.0
10111,2026-01-04,  iPad Air ,,3.0
10111,10/01/2026,MacBook Air,1999$,5.0
10113,01-17-2026,MacBook Pro,65 USD,1.0
10114,2026/01/14 19:00,Wi-Fi Adapter,65 USD,3.0
10115,2026-01-12,iPad Air,65 USD,1.0
10116,01-10-2026,Wi-Fi Adapter,65$,4.0
10117,2026/01/17 02:00,AirPods Pro,"$1,999.00",1.0
10118,2026-01-14,  macbook air ,$599.00,2.0
10119,19/01/2026,  macbook air ,1100 USD,
10120,2026-01-27,  iPad Air ,$999.99,4.0
10121,27/01/2026,iphone 15 pro,"$1,999.00",5.0
10122,2026/01/15 06:00,iphone 15 pro,25$,2.0
10123,2026-01-04,  iPad Air ,65$,5.0
10124,01-09-2026,  macbook air ,65$,4.0
10125,29/01/2026,iphone 15 pro,65 USD,3.0
10126,2026/01/18 07:00,MacBook Pro,65$,3.0
10127,19/01/2026,Wi-Fi Adapter,"$1,999.00",3.0
10128,27/01/2026,iPad Air,599$,3.0
10128,2026/01/14 08:00, iPhone 15 Pro ,65,1.0
10130,2026-01-22, iPhone 15 Pro ,1999 USD,3.0
10131,15/01/2026,MacBook Pro,599,2.0
10132,2026-01-22,AirPods Pro,25 USD,3.0
10133,2026/01/03 04:00,iphone 15 pro,1100$,3.0
10134,01-28-2026,iphone 15 pro,1999$,3.0
10135,2026-01-15, iPhone 15 Pro ,599,4.0
10136,01-13-2026,  iPad Air ,599$,4.0
10137,01-26-2026,  macbook air ,65$,4.0
10138,2026/01/11 17:00,MacBook Air,$249.00,4.0
10139,2026-01-16,  macbook air ,999.99$,3.0
10140,2026-01-21,  macbook air ,"$1,999.00",5.0
10141,12/01/2026,Wi-Fi Adapter,1100,5.0
10142,2026-01-03,  macbook air ,1100,5.0
10143,2026/01/29 11:00,iphone 15 pro,65 USD,1.0
10144,2026-01-25,Powerbank 65W,$249.00,5.0
10145,27/01/2026,Powerbank 65W,25 USD,
10146,10/01/2026,  macbook air ,65,4.0
10147,01-21-2026,MacBook Pro,"$1,100.00",4.0
