sale_id,date,product_name,price,quantity
20000,04/03/2026,iPad Air,25 USD,5.0
20001,13/03/2026,Wi-Fi Adapter,65,2.0
20002,2026-03-15,iPad Air,999.99$,5.0
20003,2026/03/14 06:00,AirPods Pro,$999.99,1.0
20004,2026/03/26 17:00,  macbook air ,249$,3.0
20005,2026/03/07 09:00, iPhone 15 Pro ,65,2.0
20005,03-15-2026,MacBook Air,$249.00,3.0
20007,03/03/2026,MacBook Air,999.99,4.0
20008,2026-03-15, iPhone 15 Pro ,"$1,999.00",5.0
20009,2026-03-21,Powerbank 65W,249 USD,5.0
20010,2026-03-24,iphone 15 pro,1999 USD,3.0
20011,2026-03-20,MacBook Pro,25 USD,5.0
20012,24/03/2026,iPad Air,249 USD,4.0
20013,17/03/2026,iphone 15 pro,249$,5.0
20014,03-25-2026,  iPad Air ,1999,5.0
20015,2026/03/13 00:00,iphone 15 pro,"$1,100.00",3.0
20016,03-05-2026,AirPods Pro,999.99$,5.0
20017,03-27-2026,Wi-Fi Adapter,65,1.0
20018,2026/03/07 15:00,Powerbank 65W,999.99,5.0
20019,2026/03/12 07:00,  macbook air ,1100 USD,5.0
20020,2026/03/12 10:00,MacBook Pro,599 USD,3.0
20021,12/03/2026,,"$1,999.00",4.0
20022,2026-03-13,MacBook Pro,249$,2.0
20023,2026-03-08,iPad Air,1999$,1.0
20024,2026/03/08 23:00,AirPods Pro,999.99 USD,5.0
20025,26/03/2026,MacBook Pro,$599.00,4.0
20026,03-11-2026,  iPad Air ,65,3.0
20027,2026-03-30,MacBook Air,1100,5.0
20028,05/03/2026,Wi-Fi Adapter,249 USD,2.0
20029,2026/03/25 04:00,MacBook Air,$25.00,5.0
20030,03-25-2026,MacBook Air,$599.00,
20031,03-13-2026,iphone 15 pro,1999,4.0
20032,2026-03-13,iPad Air,999.99 USD,2.0
20033,03-06-2026, iPhone 15 Pro ,25$,1.0
20034,2026/03/17 11:00, iPhone 15 Pro ,1100$,4.0
20035,03-21-2026,  macbook air ,1999 USD,3.0
20036,2026/03/08 23:00,AirPods Pro,"$1,100.00",5.0
